sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
546,0,738,9569,10307,256,1024,55250.0
547,0,738,9569,10307,256,1024,50750.0
548,0,738,9569,10307,256,1024,50708.3
549,1,671,9564,10235,256,1024,50625.0
550,1,672,9531,10203,256,1024,50708.3
551,0,738,9569,10307,256,1024,50666.7
552,1,682,9602,10284,256,1024,50583.3
553,1,680,9465,10145,256,1024,53583.3
554,0,738,9569,10307,256,1024,50708.3
555,1,685,9624,10309,256,1024,60083.3
556,1,680,9530,10210,256,1024,51791.7
557,0,738,9569,10307,256,1024,54500.0
558,1,669,9543,10212,256,1024,54708.3
559,1,664,9548,10212,256,1024,51916.7
560,1,686,9520,10206,256,1024,50708.3
561,0,738,9569,10307,256,1024,50666.7
562,0,738,9569,10307,256,1024,50583.3
563,0,738,9569,10307,256,1024,50708.3
564,1,664,9582,10246,256,1024,50708.3
565,0,738,9569,10307,256,1024,50583.3
566,0,738,9569,10307,256,1024,50791.7
567,1,677,9526,10203,256,1024,50833.3
568,1,667,9588,10255,256,1024,50708.3
569,1,679,9527,10206,256,1024,50583.3
570,0,738,9569,10307,256,1024,50666.7
571,1,684,9570,10254,256,1024,50666.7
572,0,738,9569,10307,256,1024,50541.7
573,1,685,9560,10245,256,1024,50625.0
574,0,738,9569,10307,256,1024,50791.7
575,1,690,9500,10190,256,1024,50791.7
576,0,738,9569,10307,256,1024,50583.3
577,1,701,9534,10235,256,1024,50583.3
578,1,682,9504,10186,256,1024,50833.3
579,1,679,9550,10229,256,1024,50666.7
580,0,738,9569,10307,256,1024,50583.3
581,0,738,9569,10307,256,1024,50625.0
582,1,670,9528,10198,256,1024,50625.0
583,1,673,9487,10160,256,1024,50625.0
584,1,686,9543,10229,256,1024,50666.7
585,1,677,9565,10242,256,1024,50708.3
586,1,670,9545,10215,256,1024,50708.3
587,1,688,9487,10175,256,1024,57541.7
588,0,738,9569,10307,256,1024,50750.0
589,0,738,9569,10307,256,1024,50708.3
590,0,738,9569,10307,256,1024,50750.0
591,1,681,9517,10198,256,1024,52750.0
592,1,676,9532,10208,256,1024,52458.3
593,0,738,9569,10307,256,1024,52166.7
594,1,676,9561,10237,256,1024,50833.3
595,1,680,9444,10124,256,1024,50708.3
596,1,684,9552,10236,256,1024,58958.3
597,0,738,9569,10307,256,1024,50708.3
598,1,682,9515,10197,256,1024,50541.7
599,0,738,9569,10307,256,1024,50625.0
600,1,694,9543,10237,256,1024,50625.0
601,0,738,9569,10307,256,1024,50791.7
602,1,663,9577,10240,256,1024,53250.0
603,0,738,9569,10307,256,1024,50750.0
604,0,738,9569,10307,256,1024,50791.7
605,1,687,9533,10220,256,1024,50750.0
606,0,738,9569,10307,256,1024,58666.7
607,1,675,9516,10191,256,1024,53333.3
608,1,682,9553,10235,256,1024,56625.0
609,1,680,9452,10132,256,1024,53416.7
610,1,677,9631,10308,256,1024,50625.0
611,0,738,9569,10307,256,1024,50666.7
612,0,738,9569,10307,256,1024,50708.3
613,1,676,9520,10196,256,1024,50583.3
614,1,670,9651,10321,256,1024,50625.0
615,0,738,9569,10307,256,1024,50708.3
616,1,681,9467,10148,256,1024,50666.7
617,1,676,9533,10209,256,1024,50666.7
618,1,673,9547,10220,256,1024,53875.0
619,1,668,9560,10228,256,1024,50666.7
620,0,738,9569,10307,256,1024,50625.0
621,0,738,9569,10307,256,1024,50541.7
622,1,666,9589,10255,256,1024,50666.7
623,0,738,9569,10307,256,1024,53375.0
624,0,738,9569,10307,256,1024,53833.3
