sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
462,0,0,0,0,0,0,50416.7
463,1,0,0,0,0,0,50458.3
464,1,0,0,0,0,0,50583.3
465,0,0,0,0,0,0,50333.3
466,1,0,0,0,0,0,50500.0
467,1,0,0,0,0,0,50333.3
468,0,0,0,0,0,0,50291.7
469,0,0,0,0,0,0,50500.0
470,1,0,0,0,0,0,50375.0
471,0,0,0,0,0,0,50333.3
472,1,0,0,0,0,0,50333.3
473,1,0,0,0,0,0,50500.0
474,0,0,0,0,0,0,50416.7
475,0,0,0,0,0,0,50416.7
476,1,0,0,0,0,0,50541.7
477,1,0,0,0,0,0,50541.7
478,1,0,0,0,0,0,50250.0
479,0,0,0,0,0,0,50291.7
480,1,0,0,0,0,0,50375.0
481,1,0,0,0,0,0,50500.0
482,0,0,0,0,0,0,50333.3
483,0,0,0,0,0,0,50375.0
484,0,0,0,0,0,0,50375.0
485,0,0,0,0,0,0,50416.7
486,1,0,0,0,0,0,50375.0
487,1,0,0,0,0,0,50333.3
488,0,0,0,0,0,0,50333.3
489,1,0,0,0,0,0,50375.0
490,0,0,0,0,0,0,50250.0
491,1,0,0,0,0,0,50458.3
492,1,0,0,0,0,0,50208.3
493,0,0,0,0,0,0,52125.0
494,0,0,0,0,0,0,53916.7
495,1,0,0,0,0,0,53500.0
496,0,0,0,0,0,0,52708.3
497,0,0,0,0,0,0,54583.3
498,1,0,0,0,0,0,54000.0
499,1,0,0,0,0,0,52916.7
500,1,0,0,0,0,0,52208.3
501,1,0,0,0,0,0,52000.0
502,0,0,0,0,0,0,52291.7
503,1,0,0,0,0,0,52208.3
504,1,0,0,0,0,0,52416.7
505,0,0,0,0,0,0,52250.0
506,1,0,0,0,0,0,52208.3
507,0,0,0,0,0,0,52208.3
508,0,0,0,0,0,0,52166.7
509,1,0,0,0,0,0,53625.0
510,0,0,0,0,0,0,51458.3
511,1,0,0,0,0,0,50333.3
512,0,0,0,0,0,0,50416.7
513,1,0,0,0,0,0,50458.3
514,1,0,0,0,0,0,50708.3
515,0,0,0,0,0,0,50416.7
516,0,0,0,0,0,0,50375.0
517,0,0,0,0,0,0,50416.7
518,1,0,0,0,0,0,50625.0
519,1,0,0,0,0,0,50375.0
520,0,0,0,0,0,0,50416.7
521,0,0,0,0,0,0,50416.7
522,0,0,0,0,0,0,50375.0
523,0,0,0,0,0,0,50333.3
524,1,0,0,0,0,0,50500.0
525,0,0,0,0,0,0,50458.3
526,1,0,0,0,0,0,50333.3
527,0,0,0,0,0,0,50333.3
528,0,0,0,0,0,0,50458.3
529,0,0,0,0,0,0,50416.7
530,0,0,0,0,0,0,50458.3
